,requests,requests_duration_mean,num_pods,pod_cpu_limit,node_cores,node_mem,pod_mem_limit,pod_util_cpu_avg,pod_util_mem_avg,total_cpu_util,total_mem_util
0,44.0,2.2691278181818184,1,0.2,4.0,15.674213409423828,0.1953125,0.004,0.01329803466796875,0.004,0.01329803466796875
1,669.0,2.464161270553064,2,0.2,2.0,7.799198150634766,0.1953125,0.0005,0.01532745361328125,0.001,0.0306549072265625
2,732.0,2.236928269125682,2,0.5,2.0,7.799198150634766,0.48828125,0.0005,0.01523017883300781,0.001,0.03046035766601562
3,813.0,2.5992426519065175,2,1.0,2.0,7.799198150634766,0.9765625,0.0005,0.01581573486328125,0.001,0.0316314697265625
4,897.0,2.3112392976588634,3,1.0,4.0,15.674213409423828,1.953125,0.0003333333333333333,0.01529057820638021,0.001,0.04587173461914063
5,940.0,1.4772714574468055,1,2.0,4.0,15.674213409423828,7.8125,0.001,0.01653289794921875,0.001,0.01653289794921875
6,957.0,1.6828465454545434,1,1.0,1.0,0.9715576171875,0.9715576171875,0.001,0.0186767578125,0.001,0.0186767578125
7,983.0,2.4730725096642914,1,1.0,2.0,7.799198150634766,1.953125,0.001,0.017543792724609375,0.001,0.017543792724609375
8,1312.0,1.9955741189024412,2,1.0,4.0,15.674213409423828,0.9765625,0.0005,0.016210556030273434,0.001,0.03242111206054687
9,1352.0,2.6338727847633105,2,1.0,2.0,7.799198150634766,0.9765625,0.0005,0.01587295532226563,0.001,0.03174591064453126
10,1450.0,2.3404535386206926,1,0.5,4.0,15.674213409423828,0.48828125,0.001,0.017047882080078125,0.001,0.017047882080078125
11,1463.0,1.940933196172247,1,2.0,4.0,15.674213409423828,7.8125,0.001,0.016880035400390625,0.001,0.016880035400390625
12,1524.0,2.7760101784776903,3,1.0,4.0,15.674213409423828,0.48828125,0.0003333333333333333,0.015533447265625,0.001,0.046600341796875
13,1646.0,1.8908590650060777,1,1.0,4.0,15.674213409423828,1.953125,0.001,0.017486572265625,0.001,0.017486572265625
14,1658.0,1.327153843184561,1,1.0,4.0,15.674213409423828,0.9765625,0.001,0.0171661376953125,0.001,0.0171661376953125
15,1692.0,5.21263324704492,2,0.1,4.0,15.674213409423828,0.09765625,0.0005,0.016202926635742188,0.001,0.032405853271484375
16,1718.0,1.4622094499417913,1,2.0,2.0,7.799198150634766,7.799198150634766,0.001,0.016941070556640625,0.001,0.016941070556640625
17,1899.0,5.098281601895749,3,0.1,2.0,7.799198150634766,0.09765625,0.0006666666666666668,0.015727996826171875,0.002,0.047183990478515625
18,1904.0,1.419605048319327,1,1.0,1.0,0.4793853759765625,0.4793853759765625,0.001,0.02623748779296875,0.001,0.02623748779296875
19,1909.0,1.48549596490309,1,2.0,2.0,3.8617095947265625,3.8617095947265625,0.001,0.0168304443359375,0.001,0.0168304443359375
20,1994.0,2.3179469122367076,2,1.0,4.0,15.674213409423828,1.953125,0.0005,0.015665054321289066,0.001,0.03133010864257813
21,2061.0,3.065974844250366,1,1.0,2.0,7.799198150634766,1.953125,0.002,0.01703643798828125,0.002,0.01703643798828125
22,2144.0,1.4901171944962663,1,2.0,4.0,15.674213409423828,7.8125,0.008,0.0203704833984375,0.008,0.0203704833984375
23,2170.0,1.9223265599078374,2,1.0,4.0,15.674213409423828,0.48828125,0.0005,0.016107559204101562,0.001,0.032215118408203125
24,2170.0,1.505708960829494,1,1.0,4.0,15.674213409423828,0.48828125,0.001,0.01793670654296875,0.001,0.01793670654296875
25,2180.0,1.4489120321100912,1,1.0,1.0,0.9715576171875,0.9715576171875,0.006,0.0192108154296875,0.006,0.0192108154296875
26,2188.0,2.1015577824497313,3,1.0,4.0,15.674213409423828,1.953125,0.0023333333333333335,0.01422882080078125,0.007000000000000001,0.04268646240234375
27,2225.0,2.5586808921348307,3,1.0,4.0,15.674213409423828,0.9765625,0.0036666666666666666,0.014703114827473957,0.011,0.044109344482421875
28,2228.0,2.1045383159784556,1,1.0,2.0,7.799198150634766,1.953125,0.005,0.016246795654296875,0.005,0.016246795654296875
29,2249.0,1.4491149110715875,1,1.0,1.0,1.9559326171875,1.9559326171875,0.001,0.016590118408203125,0.001,0.016590118408203125
30,2273.0,2.369061702595688,2,1.0,2.0,7.799198150634766,0.9765625,0.004,0.014003753662109377,0.008,0.028007507324218753
31,2296.0,1.8999990017421577,3,0.5,4.0,15.674213409423828,0.48828125,0.0003333333333333333,0.014392852783203123,0.001,0.04317855834960937
32,2304.0,4.625846619791666,2,0.1,2.0,7.799198150634766,0.09765625,0.0005,0.014535903930664064,0.001,0.02907180786132813
33,2311.0,1.9782552812635215,1,0.2,2.0,7.799198150634766,0.1953125,0.002,0.017528533935546875,0.002,0.017528533935546875
34,2356.0,1.8913719202037378,2,0.5,2.0,7.799198150634766,0.48828125,0.0025,0.015642166137695312,0.005,0.031284332275390625
35,2402.0,1.5471189071606988,1,1.0,2.0,7.799198150634766,0.9765625,0.001,0.014141082763671875,0.001,0.014141082763671875
36,2407.0,2.2397475849605337,2,0.5,2.0,7.799198150634766,0.48828125,0.0015,0.014980316162109375,0.003,0.02996063232421875
37,2410.0,2.0324882385892145,3,0.2,4.0,15.674213409423828,0.1953125,0.0023333333333333335,0.01431910196940104,0.007000000000000001,0.04295730590820312
38,2420.0,1.93081230289256,2,0.2,2.0,7.799198150634766,0.1953125,0.004,0.014436721801757812,0.008,0.028873443603515625
39,2439.0,2.4377359917999226,2,1.0,2.0,7.799198150634766,0.48828125,0.001,0.014652252197265625,0.002,0.02930450439453125
40,2452.0,2.428027807504075,1,0.1,2.0,7.799198150634766,0.09765625,0.001,0.01407623291015625,0.001,0.01407623291015625
41,2463.0,2.420481354445797,3,0.2,2.0,7.799198150634766,0.1953125,0.002333333333333333,0.014171600341796875,0.006999999999999999,0.042514801025390625
42,2533.0,2.1182251638373417,2,1.0,4.0,15.674213409423828,0.9765625,0.008,0.016105651855468747,0.016,0.03221130371093749
43,2560.0,1.7513876140624958,1,1.0,2.0,7.799198150634766,0.9765625,0.001,0.01422119140625,0.001,0.01422119140625
44,2568.0,2.574895293613707,2,1.0,2.0,7.799198150634766,0.9765625,0.007,0.014574050903320312,0.014,0.029148101806640625
45,2655.0,1.5185935913370991,1,1.0,2.0,3.8617095947265625,0.48828125,0.001,0.01418304443359375,0.001,0.01418304443359375
46,2658.0,1.8649004661399562,1,2.0,4.0,15.674213409423828,7.8125,0.009,0.02143096923828125,0.009,0.02143096923828125
47,2689.0,2.0677197329862427,1,0.5,4.0,15.674213409423828,0.48828125,0.014,0.024433135986328125,0.014,0.024433135986328125
48,2714.0,1.550144335298456,1,1.0,2.0,7.799198150634766,0.48828125,0.002,0.014255523681640625,0.002,0.014255523681640625
49,2748.0,2.1748569228529826,3,1.0,4.0,15.674213409423828,0.48828125,0.006999999999999999,0.01497650146484375,0.020999999999999998,0.04492950439453125
50,2791.0,1.481399891795061,1,1.0,4.0,15.674213409423828,1.953125,0.001,0.014141082763671875,0.001,0.014141082763671875
51,2829.0,1.650539191233652,1,1.0,2.0,3.8617095947265625,0.9765625,0.001,0.014095306396484375,0.001,0.014095306396484375
52,2830.0,2.2473378745583,2,0.2,4.0,15.674213409423828,0.1953125,0.001,0.014471054077148438,0.002,0.028942108154296875
53,2837.0,1.3726929598167077,1,1.0,4.0,15.674213409423828,0.9765625,0.011,0.024730682373046875,0.011,0.024730682373046875
54,2847.0,1.760999031612226,1,1.0,2.0,3.8617095947265625,1.953125,0.001,0.014171600341796875,0.001,0.014171600341796875
55,2847.0,3.6273873733754813,3,0.1,4.0,15.674213409423828,0.09765625,0.0003333333333333334,0.014569600423177084,0.001,0.04370880126953125
56,2887.0,1.8828247845514434,1,1.0,4.0,15.674213409423828,1.953125,0.012,0.0245208740234375,0.012,0.0245208740234375
57,2922.0,3.3888273702943246,2,0.1,4.0,15.674213409423828,0.09765625,0.0075,0.01519012451171875,0.015,0.0303802490234375
