,requests,requests_duration_mean,num_pods,pod_cpu_limit,node_cores,node_mem,pod_mem_limit,pod_util_cpu_avg,pod_util_mem_avg,total_cpu_util,total_mem_util
32,136.0,16.28614557352941,2,2.0,4.0,15.674213409423828,3.90625,0.0045,0.020877838134765625,0.009,0.04175567626953125
33,140.0,21.89021967142856,1,0.2,1.0,1.9559326171875,0.1953125,0.011000000000000001,0.034572601318359375,0.011000000000000001,0.034572601318359375
34,140.0,84.12679984285712,3,0.1,1.0,1.9559326171875,0.09765625,0.002666666666666667,0.019933064778645832,0.008,0.0597991943359375
35,146.0,17.156901945205473,2,0.5,2.0,3.8617095947265625,0.48828125,0.0035,0.020788192749023438,0.007,0.041576385498046875
36,154.0,16.883365642857147,3,1.0,4.0,15.674213409423828,0.9765625,0.0029999999999999996,0.019521077473958336,0.009,0.05856323242187501
37,168.0,1937.7979704642858,2,0.5,2.0,7.799198150634766,0.48828125,0.4155,0.050998687744140625,0.831,0.10199737548828125
38,169.0,42.50426387573966,2,0.1,2.0,7.799198150634766,0.09765625,0.0045,0.01922607421875,0.009,0.0384521484375
39,170.0,16.841733023529414,3,1.0,4.0,15.674213409423828,0.48828125,0.0036666666666666666,0.020331064860026043,0.011,0.060993194580078125
40,181.0,18.400046143646406,2,0.5,4.0,15.674213409423828,0.48828125,0.005,0.021986007690429688,0.01,0.043972015380859375
41,182.0,48.50606435164837,3,0.1,1.0,0.9715576171875,0.09765625,0.0033333333333333335,0.023291269938151043,0.01,0.06987380981445312
42,183.0,16.20239332240438,1,0.5,4.0,15.674213409423828,0.48828125,0.012,0.0239410400390625,0.012,0.0239410400390625
43,183.0,16.3059580874317,2,1.0,4.0,15.674213409423828,0.48828125,0.006,0.022701263427734375,0.012,0.04540252685546875
44,184.0,19.17917047282608,1,0.5,2.0,3.8617095947265625,0.48828125,0.01,0.03071975708007813,0.01,0.03071975708007813
45,185.0,16.297842540540543,1,1.0,2.0,3.8617095947265625,0.48828125,0.012,0.032958984375,0.012,0.032958984375
46,188.0,18.2371242606383,1,1.0,2.0,7.799198150634766,0.9765625,0.013,0.031734466552734375,0.013,0.031734466552734375
47,188.0,20.696697867021282,2,0.5,2.0,3.8617095947265625,0.48828125,0.005,0.020629882812499997,0.01,0.04125976562499999
48,192.0,16.744555927083336,1,1.0,2.0,7.799198150634766,0.48828125,0.011,0.02835845947265625,0.011,0.02835845947265625
49,195.0,28.832579164102558,1,0.1,1.0,0.4793853759765625,0.09765625,0.011000000000000001,0.039226531982421875,0.011000000000000001,0.039226531982421875
50,197.0,15.99430247208122,1,1.0,4.0,15.674213409423828,1.953125,0.013,0.02590179443359375,0.013,0.02590179443359375
51,198.0,19.69411319696968,1,0.2,1.0,0.9715576171875,0.1953125,0.011000000000000001,0.04146575927734375,0.011000000000000001,0.04146575927734375
52,206.0,25.047743470873787,3,0.2,4.0,15.674213409423828,0.1953125,0.0033333333333333335,0.017571767171223957,0.01,0.052715301513671875
53,212.0,19.956229174528293,1,0.2,4.0,15.674213409423828,0.1953125,0.014000000000000002,0.03045654296875,0.014000000000000002,0.03045654296875
54,213.0,15.6136168028169,1,1.0,4.0,15.674213409423828,0.48828125,0.014,0.027629852294921875,0.014,0.027629852294921875
55,216.0,16.673582592592588,1,1.0,2.0,3.8617095947265625,0.9765625,0.011,0.02542877197265625,0.011,0.02542877197265625
56,222.0,18.25235102252252,1,1.0,2.0,3.8617095947265625,1.953125,0.015,0.033756256103515625,0.015,0.033756256103515625
57,231.0,23.989933290043304,3,0.2,2.0,3.8617095947265625,0.1953125,0.005333333333333334,0.01810455322265625,0.016,0.05431365966796875
58,232.0,63.12239864655177,5,0.1,4.0,15.674213409423828,0.09765625,0.0048000000000000004,0.024594116210937503,0.024,0.12297058105468751
59,239.0,15.969985891213383,1,2.0,2.0,7.799198150634766,7.799198150634766,0.022,0.029613494873046875,0.022,0.029613494873046875
60,241.0,94.6378845850622,1,0.1,2.0,7.799198150634766,0.09765625,0.016,0.036041259765625,0.016,0.036041259765625
61,241.0,20.66377918672199,3,0.2,2.0,7.799198150634766,0.1953125,0.004,0.021373748779296875,0.012,0.06412124633789062
62,241.0,20.66377918672199,3,0.2,2.0,7.799198150634766,0.1953125,0.004,0.021373748779296875,0.012,0.06412124633789062
63,241.0,16.120477556016596,1,2.0,4.0,15.674213409423828,7.8125,0.012,0.013980865478515625,0.012,0.013980865478515625
64,243.0,16.19974879423868,1,2.0,2.0,3.8617095947265625,3.8617095947265625,0.027,0.03789520263671875,0.027,0.03789520263671875
65,248.0,19.898896588709675,1,0.2,1.0,0.9715576171875,0.1953125,0.014000000000000002,0.03440093994140625,0.014000000000000002,0.03440093994140625
66,249.0,44.09333434136547,3,0.1,4.0,15.674213409423828,0.09765625,0.004666666666666666,0.022523244222005207,0.013999999999999999,0.06756973266601562
67,250.0,23.706145672000005,2,0.2,2.0,7.799198150634766,0.1953125,0.0085,0.021678924560546875,0.017,0.04335784912109375
68,250.0,17.065941596,1,1.0,2.0,7.799198150634766,1.953125,0.014,0.03215789794921875,0.014,0.03215789794921875
69,253.0,16.6334904743083,1,1.0,1.0,0.9715576171875,0.9715576171875,0.015,0.02667236328125,0.015,0.02667236328125
70,254.0,20.776617271653556,1,0.2,2.0,3.8617095947265625,0.1953125,0.018,0.023777008056640625,0.018,0.023777008056640625
71,254.0,16.057376992126,2,2.0,4.0,15.674213409423828,3.90625,0.013,0.032459259033203125,0.026,0.06491851806640625
72,254.0,43.85327689370077,2,0.1,4.0,15.674213409423828,0.09765625,0.009,0.02335357666015625,0.018,0.0467071533203125
73,256.0,20.770734210937498,2,0.2,4.0,15.674213409423828,0.1953125,0.006500000000000001,0.016485214233398438,0.013000000000000001,0.032970428466796875
74,256.0,80.21980050781254,1,0.1,1.0,1.9559326171875,0.09765625,0.012,0.029926300048828125,0.012,0.029926300048828125
75,256.0,27.141082261718736,1,0.2,1.0,1.9559326171875,0.1953125,0.015,0.027046203613281253,0.015,0.027046203613281253
76,258.0,17.823954062015485,1,0.5,2.0,7.799198150634766,0.48828125,0.015,0.013805389404296875,0.015,0.013805389404296875
77,259.0,21.665014177606185,1,0.2,1.0,1.9559326171875,0.1953125,0.034,0.054050445556640625,0.034,0.054050445556640625
78,259.0,67.82467358687256,3,0.1,1.0,1.9559326171875,0.09765625,0.010666666666666665,0.03005091349283854,0.031999999999999994,0.09015274047851562
79,261.0,61.86958668965519,2,0.1,2.0,3.8617095947265625,0.09765625,0.007000000000000001,0.022708892822265625,0.014000000000000002,0.04541778564453125
80,264.0,16.910858359848493,2,0.5,2.0,3.8617095947265625,0.48828125,0.0135,0.028842926025390625,0.027,0.05768585205078125
81,266.0,39.140486755639095,1,0.1,4.0,15.674213409423828,0.09765625,0.015,0.032634735107421875,0.015,0.032634735107421875
82,268.0,15.097047328358203,1,2.0,4.0,15.674213409423828,3.90625,0.014,0.029354095458984375,0.014,0.029354095458984375
83,269.0,16.512715472118952,2,1.0,4.0,15.674213409423828,1.953125,0.0075,0.023622512817382812,0.015,0.047245025634765625
84,269.0,27.09440030855018,1,0.2,1.0,1.9559326171875,0.1953125,0.014000000000000002,0.02440643310546875,0.014000000000000002,0.02440643310546875
85,270.0,28.47812988148149,2,0.5,2.0,7.799198150634766,0.48828125,0.006,0.015911102294921875,0.012,0.03182220458984375
86,271.0,17.124533885608848,3,1.0,4.0,15.674213409423828,0.9765625,0.010333333333333333,0.02707036336263021,0.031,0.08121109008789062
87,274.0,74.06194451459861,2,0.1,1.0,1.9559326171875,0.09765625,0.007000000000000001,0.022851943969726562,0.014000000000000002,0.045703887939453125
88,275.0,16.62001427272726,1,1.0,1.0,0.4793853759765625,0.4793853759765625,0.014,0.03479766845703125,0.014,0.03479766845703125
89,277.0,669.3293487797832,1,0.1,1.0,0.4793853759765625,0.09765625,0.038000000000000006,0.0675811767578125,0.038000000000000006,0.0675811767578125
90,279.0,16.285219132616483,3,1.0,4.0,15.674213409423828,1.953125,0.004333333333333333,0.014395395914713541,0.013,0.043186187744140625
91,284.0,36.51071100704224,3,0.1,2.0,3.8617095947265625,0.09765625,0.004666666666666667,0.02056757609049479,0.014000000000000002,0.06170272827148437
92,286.0,16.091052486013986,1,0.2,2.0,7.799198150634766,0.1953125,0.015,0.033905029296875,0.015,0.033905029296875
93,287.0,16.112391104529618,3,1.0,4.0,15.674213409423828,0.48828125,0.012333333333333333,0.030370076497395832,0.037,0.0911102294921875
94,288.0,59.68410268055556,2,0.1,2.0,7.799198150634766,0.09765625,0.019000000000000003,0.03472137451171876,0.038000000000000006,0.06944274902343751
95,288.0,27.017504663194455,2,0.2,2.0,3.8617095947265625,0.1953125,0.007000000000000001,0.02463531494140625,0.014000000000000002,0.0492706298828125
96,289.0,18.397637844290667,2,0.5,2.0,7.799198150634766,0.48828125,0.0065,0.02123260498046875,0.013,0.0424652099609375
97,291.0,28.65147129209624,1,0.1,1.0,0.9715576171875,0.09765625,0.013000000000000001,0.032794952392578125,0.013000000000000001,0.032794952392578125
98,296.0,16.86227210135136,2,1.0,4.0,15.674213409423828,0.9765625,0.007,0.024173736572265625,0.014,0.04834747314453125
99,296.0,16.37092562162162,1,1.0,4.0,15.674213409423828,0.9765625,0.012,0.01399993896484375,0.012,0.01399993896484375
