,requests,requests_duration_mean,num_pods,pod_cpu_limit,node_cores,node_mem,pod_mem_limit,pod_util_cpu_avg,pod_util_mem_avg,total_cpu_util,total_mem_util
0,6.0,0.046003666666666665,1,0.1,1.0,0.4793853759765625,0.09765625,0.044000000000000004,0.0976409912109375,0.044000000000000004,0.0976409912109375
1,7.0,0.04669742857142857,1,0.1,1.0,0.4793853759765625,0.09765625,0.043000000000000003,0.09764480590820312,0.043000000000000003,0.09764480590820312
2,43.0,0.046019000000000004,2,0.1,1.0,0.4793853759765625,0.09765625,0.019500000000000003,0.04324150085449219,0.03900000000000001,0.08648300170898438
3,44.0,12.477088522727275,3,1.0,2.0,3.8617095947265625,0.48828125,0.0003333333333333333,0.04255040486653646,0.001,0.12765121459960938
4,45.0,92.91602706666669,2,0.1,1.0,0.4793853759765625,0.09765625,0.001,0.04509735107421875,0.002,0.0901947021484375
5,45.0,9.369108711111112,1,1.0,4.0,15.674213409423828,0.9765625,0.001,0.034610748291015625,0.001,0.034610748291015625
6,47.0,26.735207936170216,1,1.0,2.0,3.8617095947265625,0.48828125,0.002,0.034046173095703125,0.002,0.034046173095703125
7,47.0,32.63967278723404,1,1.0,2.0,7.799198150634766,0.48828125,0.001,0.0348358154296875,0.001,0.0348358154296875
8,48.0,26.026771020833337,1,1.0,2.0,7.799198150634766,0.9765625,0.001,0.035053253173828125,0.001,0.035053253173828125
9,48.0,18.384036770833326,3,0.5,4.0,15.674213409423828,0.48828125,0.0006666666666666666,0.03918838500976562,0.002,0.11756515502929685
10,48.0,41.52960266666667,2,0.2,2.0,3.8617095947265625,0.1953125,0.0005,0.03793144226074219,0.001,0.07586288452148438
11,55.0,74.31015832727273,1,0.2,1.0,0.4793853759765625,0.1953125,0.003,0.05078887939453124,0.003,0.05078887939453124
12,66.0,77.15341853030301,2,0.2,1.0,1.9559326171875,0.1953125,0.0015,0.0377044677734375,0.003,0.075408935546875
13,69.0,0.05497197101449275,1,0.1,1.0,0.4793853759765625,0.09765625,0.06999999999999999,0.097625732421875,0.06999999999999999,0.097625732421875
14,74.0,53.91984708108108,2,0.1,1.0,0.9715576171875,0.09765625,0.0005,0.03964805603027344,0.001,0.07929611206054688
15,87.0,1129.7462811609194,1,1.0,2.0,7.799198150634766,0.48828125,0.804,0.12675094604492188,0.804,0.12675094604492188
